# Px, Py, Pz
-0.019922 -3.248420 -3.235290
0.845906 -3.117470 -3.427270
1.788010 -3.149250 -1.891850
3.200540 -2.478800 -2.314790
3.400570 -2.396160 -2.546620
2.230880 -2.469920 -2.130440
2.394470 -3.425570 -1.028560
2.669090 -2.192310 -2.211810
3.573480 -0.198771 -1.204860
2.060090 -1.667230 -1.832930
2.302090 -1.685450 -2.647900
1.931250 -1.649420 -1.732490
3.126790 -1.434140 -2.005420
2.252070 -2.434730 -2.091450
1.935910 -1.841410 -3.261990
0.608158 -1.562120 -4.262580
1.303190 -3.106450 -4.435070
0.544588 -2.905150 -4.728760
1.855810 -3.091200 -4.193500
1.369300 -3.769690 -3.729870
2.220290 -4.008300 -2.821660
2.174100 -4.275300 -4.118490
1.842260 -3.730710 -4.974150
2.055010 -4.124000 -5.611960
2.556350 -5.807340 -4.674090
3.820550 -4.872860 -5.009310
3.591280 -4.479560 -3.545510
2.693670 -4.377860 -3.325140
1.769360 -3.147570 -4.774540
1.785890 -2.546190 -3.527300
1.971520 -0.525079 -3.585360
3.239530 -1.067130 -2.547040
2.209260 -1.977870 -2.885660
2.351660 -2.156720 -2.998820
2.710200 -2.408460 -3.802760
2.730960 -2.163500 -2.732660
1.871920 -1.722740 -3.996870
2.195720 -0.717915 -4.181630
2.183850 -1.097650 -4.047700
1.657480 -1.510420 -3.917180
1.323520 -0.717071 -3.748080
0.935324 -1.552800 -3.599760
1.412950 -2.126210 -3.782840
1.455750 -3.542970 -2.519070
0.918378 -2.861070 -3.660360
0.694180 -3.870570 -2.975930
0.061885 -1.674860 -4.390570
0.235207 -2.405920 -3.325140
0.397535 -2.961090 -3.310310
0.188169 -2.861490 -4.137570
0.119517 -1.298940 -4.205810
-0.914987 -4.113830 -3.582380
-1.273510 -4.655450 -3.258590
0.174609 -4.933460 -3.395490
0.147478 -3.242490 -2.025350
-0.308528 -4.541860 -2.588150
-0.799718 -3.601440 -1.646880
-0.389048 -3.725620 -0.199184
-0.598833 -4.261310 -0.380164
0.987027 -4.926680 0.344968
0.721733 -5.926000 -1.310810
1.151040 -5.783170 -1.326920
-0.315303 -5.407260 -2.168590
-0.477620 -6.187480 -2.365230
0.276314 -5.370810 -1.843530
-0.722577 -6.087040 -1.138750
-0.432701 -4.927520 -1.421000
-0.472113 -4.547800 -1.251050
0.138581 -4.513460 -0.518308
0.272076 -3.731570 -1.517210
-0.243258 -4.086280 -0.197061
-0.996782 -4.152400 -0.884053
-0.537805 -5.085600 -0.564500
-2.510590 -4.681300 0.307253
-2.013050 -4.709270 0.019919
-0.556881 -5.198750 -0.065267
-1.396840 -6.365470 -0.575941
-0.839972 -5.159330 0.101713
-1.792250 -5.657300 -0.617903
-1.651550 -4.907610 0.461516
-0.192403 -4.965670 0.005514
-2.695370 -5.903110 -0.048309
-2.327090 -5.326740 0.411514
-2.341070 -6.392600 1.844800
-2.832260 -5.704350 1.549830
-3.397180 -5.258080 1.438800
-1.949910 -7.284700 1.868530
-3.495930 -6.136200 0.813692
-1.921940 -6.186640 1.425240
-2.896670 -5.636540 0.139007
-2.696220 -8.239950 -0.472537
-4.529150 -6.078560 -1.089580
-5.058060 -6.319280 -0.640360
-4.652050 -7.301220 -0.622564
-2.822080 -7.966170 0.960758
-2.375820 -5.841660 -0.300896
-3.167060 -5.396670 -0.466605
-1.088730 -5.381410 -0.747995
-2.337670 -5.868770 -0.854384
-2.402950 -7.121110 -1.746050
-3.029330 -7.766980 -0.834041
-1.982530 -7.241050 -1.856250
-4.969480 -8.022540 0.360667
-3.487870 -8.660770 -0.770048
-3.704860 -7.895390 0.734860
-4.298180 -7.394880 -0.002128
-4.499480 -7.538980 -0.417862
-4.075680 -8.195020 0.187748
-4.401150 -8.175110 -1.057800
-6.053990 -6.521020 -0.862857
-4.404550 -5.289450 -0.456428
-5.133480 -4.586360 -0.995936
-5.063140 -4.392270 0.845912
-3.757830 -4.770710 1.251070
-4.892770 -4.836830 -0.142825
